Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
35 to 49,Hispanic,Rochester W1 P8,Undecided,1
35 to 49,Hispanic,Rochester W1 P8,Lean Nelson,1
35 to 49,Hispanic,Stewartville,Lean Aleta,1
34 to 49,Hispanic,Kasson P-1,Strong Aleta,1
35 to 49,Hispanic,Kasson P-2,Strong Aleta,1
21 to 49,White,Byron,Strong Aleta,1
22 to 49,White,Byron,Strong Aleta,1
23 to 49,White,Byron,Strong Aleta,1
24 to 49,White,Byron,Strong Aleta,1
25 to 49,White,Byron,Strong Aleta,1
26 to 49,White,Byron,Strong Aleta,1
27 to 49,White,Byron,Strong Aleta,1
28 to 49,White,Byron,Strong Aleta,1
29 to 49,White,Byron,Strong Aleta,1
30 to 49,White,Byron,Strong Aleta,1
31 to 49,White,Byron,Strong Aleta,1
32 to 49,White,Byron,Strong Aleta,1
33 to 49,White,Byron,Strong Aleta,1
34 to 49,White,Byron,Strong Aleta,1
35 to 49,White,Byron,Strong Aleta,1
18 to 49,White,Byron,Lean Aleta,1
19 to 49,White,Byron,Lean Aleta,1
20 to 49,White,Byron,Lean Aleta,1
21 to 49,White,Byron,Lean Aleta,1
22 to 49,White,Byron,Lean Aleta,1
23 to 49,White,Byron,Lean Aleta,1
24 to 49,White,Byron,Lean Aleta,1
25 to 49,White,Byron,Lean Aleta,1
26 to 49,White,Byron,Lean Aleta,1
27 to 49,White,Byron,Lean Aleta,1
28 to 49,White,Byron,Lean Aleta,1
29 to 49,White,Byron,Lean Aleta,1
30 to 49,White,Byron,Lean Aleta,1
31 to 49,White,Byron,Lean Aleta,1
32 to 49,White,Byron,Lean Aleta,1
33 to 49,White,Byron,Lean Aleta,1
34 to 49,White,Byron,Lean Aleta,1
35 to 49,White,Byron,Lean Aleta,1
21 to 49,White,Byron,Undecided,1
22 to 49,White,Byron,Undecided,1
23 to 49,White,Byron,Undecided,1
24 to 49,White,Byron,Undecided,1
25 to 49,White,Byron,Undecided,1
26 to 49,White,Byron,Undecided,1
27 to 49,White,Byron,Undecided,1
28 to 49,White,Byron,Undecided,1
29 to 49,White,Byron,Undecided,1
30 to 49,White,Byron,Undecided,1
31 to 49,White,Byron,Undecided,1
32 to 49,White,Byron,Undecided,1
33 to 49,White,Byron,Undecided,1
34 to 49,White,Byron,Undecided,1
35 to 49,White,Byron,Undecided,1
34 to 49,White,Byron,Strong Nelson,1
35 to 49,White,Byron,Strong Nelson,1
32 to 49,White,Hayfield,Strong Aleta,1
33 to 49,White,Hayfield,Strong Aleta,1
34 to 49,White,Hayfield,Strong Aleta,1
35 to 49,White,Hayfield,Strong Aleta,1
33 to 49,White,Hayfield,Lean Nelson,1
34 to 49,White,Hayfield,Lean Nelson,1
35 to 49,White,Hayfield,Lean Nelson,1
36 to 49,White,Hayfield,Lean Nelson,1
37 to 49,White,Hayfield,Lean Nelson,1
35 to 49,White,Kalmar Twp.,Strong Aleta,1
32 to 49,White,Kasson P-1,Strong Aleta,1
33 to 49,White,Kasson P-0,Strong Aleta,1
34 to 49,White,Kasson P-1,Strong Aleta,1
35 to 49,White,Kasson P-2,Strong Aleta,1
27 to 49,White,Kasson P-6,Lean Aleta,1
28 to 49,White,Kasson P-5,Lean Aleta,1
29 to 49,White,Kasson P-4,Lean Aleta,1
30 to 49,White,Kasson P-3,Lean Aleta,1
31 to 49,White,Kasson P-2,Lean Aleta,1
32 to 49,White,Kasson P-1,Lean Aleta,1
33 to 49,White,Kasson P-0,Lean Aleta,1
34 to 49,White,Kasson P-1,Lean Aleta,1
35 to 49,White,Kasson P-2,Lean Aleta,1
28 to 49,White,Kasson P-5,Undecided,1
29 to 49,White,Kasson P-4,Undecided,1
30 to 49,White,Kasson P-3,Undecided,1
31 to 49,White,Kasson P-2,Undecided,1
32 to 49,White,Kasson P-1,Undecided,1
33 to 49,White,Kasson P-0,Undecided,1
34 to 49,White,Kasson P-1,Undecided,1
35 to 49,White,Kasson P-2,Undecided,1
34 to 49,White,Kasson P-1,Lean Nelson,1
35 to 49,White,Kasson P-2,Lean Nelson,1
35 to 49,White,Rochester W1 P1,Strong Aleta,1
35 to 49,White,Rochester W1 P1,Lean Aleta,1
33 to 49,White,Rochester W1 P1,Undecided,1
34 to 49,White,Rochester W1 P0,Undecided,1
35 to 49,White,Rochester W1 P1,Undecided,1
35 to 49,White,Rochester W1 P10,Strong Aleta,1
33 to 49,White,Rochester W1 P8,Lean Aleta,1
34 to 49,White,Rochester W1 P9,Lean Aleta,1
35 to 49,White,Rochester W1 P10,Lean Aleta,1
35 to 49,White,Rochester W1 P10,Undecided,1
35 to 49,White,Rochester W1 P10,Lean Nelson,1
35 to 49,White,Rochester W1 P10,Strong Nelson,1
34 to 49,White,Rochester W1 P10,Undecided,1
35 to 49,White,Rochester W1 P11,Undecided,1
35 to 49,White,Rochester W1 P12,Strong Nelson,1
35 to 49,White,Rochester W1 P2,Strong Aleta,1
35 to 49,White,Rochester W1 P2,Lean Aleta,1
35 to 49,White,Rochester W1 P2,Undecided,1
35 to 49,White,Rochester W1 P4,Strong Aleta,1
35 to 49,White,Rochester W1 P4,Lean Aleta,1
34 to 49,White,Rochester W1 P5,Strong Aleta,1
